stack_mode,position,villain_position,facing_action,hand_class,fold_freq,call_freq,raise_freq,raise_size,valid
100BB,UTG,UTG,UNOPENED,73s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,72s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,65s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,64s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,63s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,62s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,54s,22,0,78,2.2,1
100BB,UTG,UTG,UNOPENED,53s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,52s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,43s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,42s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,32s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,AKo,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,AQo,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,AJo,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,ATo,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A9o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,A8o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,A7o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,A6o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,A5o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,A4o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,A3o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,A2o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,KQo,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,KJo,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,KTo,45,0,55,2.2,1
100BB,UTG,UTG,UNOPENED,K9o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K8o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K7o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K6o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K5o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K4o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K3o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K2o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,QJo,25,0,75,2.2,1
100BB,UTG,UTG,UNOPENED,QTo,81,0,19,2.2,1
100BB,UTG,UTG,UNOPENED,Q9o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q8o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q7o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q6o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q5o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q4o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q3o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q2o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,JTo,46,0,54,2.2,1
100BB,UTG,UTG,UNOPENED,J9o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J8o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J7o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J6o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J5o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J4o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J3o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J2o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T9o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T8o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T7o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T6o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T5o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T4o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T3o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T2o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,98o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,97o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,96o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,95o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,94o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,93o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,92o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,87o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,86o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,85o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,84o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,83o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,82o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,76o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,75o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,74o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,73o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,72o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,65o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,64o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,63o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,62o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,54o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,53o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,52o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,43o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,42o,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,32o,100,0,0,NONE,1
100BB,UTG,UTG,ONE_RAISE,AA,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,KK,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,QQ,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,JJ,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,TT,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,99,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,88,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,77,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,66,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,55,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,44,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,33,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,22,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,AKs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,AQs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,AJs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,ATs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A9s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A8s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A7s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A6s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A5s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A4s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A3s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A2s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,KQs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,KJs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,KTs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K9s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K8s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K7s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K6s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K5s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K4s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K3s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K2s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,QJs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,QTs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q9s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q8s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q7s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q6s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q5s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q4s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q3s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q2s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,JTs,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J9s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J8s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J7s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J6s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J5s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J4s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J3s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J2s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T9s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T8s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T7s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T6s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T5s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T4s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T3s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T2s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,98s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,97s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,96s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,95s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,94s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,93s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,92s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,87s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,86s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,85s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,84s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,83s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,82s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,76s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,75s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,74s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,73s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,72s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,65s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,64s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,63s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,62s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,54s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,53s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,52s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,43s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,42s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,32s,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,AKo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,AQo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,AJo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,ATo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A9o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A8o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A7o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A6o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A5o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A4o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A3o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,A2o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,KQo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,KJo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,KTo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K9o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K8o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K7o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K6o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K5o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K4o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K3o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,K2o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,QJo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,QTo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q9o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q8o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q7o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q6o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q5o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q4o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q3o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,Q2o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,JTo,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J9o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J8o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J7o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J6o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J5o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J4o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J3o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,J2o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T9o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T8o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T7o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T6o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T5o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T4o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T3o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,T2o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,98o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,97o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,96o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,95o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,94o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,93o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,92o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,87o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,86o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,85o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,84o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,83o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,82o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,76o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,75o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,74o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,73o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,72o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,65o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,64o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,63o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,62o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,54o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,53o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,52o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,43o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,42o,0,0,0,NONE,0
100BB,UTG,UTG,ONE_RAISE,32o,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,AA,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,KK,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,QQ,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,JJ,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,TT,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,99,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,88,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,77,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,66,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,55,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,44,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,33,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,22,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,AKs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,AQs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,AJs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,ATs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,A9s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,A8s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,A7s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,A6s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,A5s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,A4s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,A3s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,A2s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,KQs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,KJs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,KTs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,K9s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,K8s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,K7s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,K6s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,K5s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,K4s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,K3s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,K2s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,QJs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,QTs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,Q9s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,Q8s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,Q7s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,Q6s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,Q5s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,Q4s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,Q3s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,Q2s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,JTs,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,J9s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,J8s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,J7s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,J6s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,J5s,0,0,0,NONE,0
100BB,UTG,UTG,THREE_BET,J4s,0,0,0,NONE,0
